


     2-D ITERATION BEHAVIOR

   IT    X-RES      Y-RES

  398 0.1465E-03 0.4605E-03
  399 0.1458E-03 0.4580E-03
  400 0.1451E-03 0.4554E-03
  401 0.1444E-03 0.4527E-03
  402 0.1436E-03 0.4501E-03
  403 0.1429E-03 0.4474E-03
  404 0.1421E-03 0.4446E-03
  405 0.1413E-03 0.4419E-03
  406 0.1406E-03 0.4391E-03
  407 0.1398E-03 0.4363E-03
  408 0.1390E-03 0.4337E-03
  409 0.1382E-03 0.4310E-03
  410 0.1374E-03 0.4284E-03
  411 0.1366E-03 0.4257E-03
  412 0.1358E-03 0.4230E-03
  413 0.1349E-03 0.4203E-03
  414 0.1341E-03 0.4176E-03
  415 0.1333E-03 0.4148E-03
  416 0.1324E-03 0.4120E-03
  417 0.1316E-03 0.4093E-03
  418 0.1307E-03 0.4065E-03
  419 0.1299E-03 0.4037E-03
  420 0.1290E-03 0.4008E-03
  421 0.1281E-03 0.3980E-03
  422 0.1273E-03 0.3951E-03
  423 0.1264E-03 0.3923E-03
  424 0.1255E-03 0.3894E-03
  425 0.1246E-03 0.3865E-03
  426 0.1238E-03 0.3837E-03
  427 0.1229E-03 0.3808E-03
  428 0.1220E-03 0.3779E-03
  429 0.1211E-03 0.3750E-03
  430 0.1202E-03 0.3721E-03
  431 0.1193E-03 0.3692E-03
  432 0.1184E-03 0.3662E-03
  433 0.1176E-03 0.3633E-03
  434 0.1167E-03 0.3604E-03
  435 0.1158E-03 0.3575E-03
  436 0.1149E-03 0.3546E-03
  437 0.1140E-03 0.3517E-03
  438 0.1131E-03 0.3488E-03
  439 0.1122E-03 0.3458E-03
  440 0.1113E-03 0.3429E-03
  441 0.1104E-03 0.3400E-03
  442 0.1095E-03 0.3371E-03
  443 0.1086E-03 0.3342E-03
  444 0.1078E-03 0.3313E-03
  445 0.1069E-03 0.3284E-03
  446 0.1060E-03 0.3255E-03
  447 0.1051E-03 0.3227E-03
  448 0.1042E-03 0.3199E-03
  449 0.1034E-03 0.3172E-03
  450 0.1025E-03 0.3145E-03
  451 0.1017E-03 0.3118E-03
  452 0.1009E-03 0.3091E-03
  453 0.1000E-03 0.3064E-03
  454 0.9919E-04 0.3037E-03
  455 0.9836E-04 0.3011E-03
  456 0.9753E-04 0.2984E-03
  457 0.9670E-04 0.2958E-03
  458 0.9588E-04 0.2931E-03
  459 0.9506E-04 0.2905E-03
  460 0.9424E-04 0.2878E-03
  461 0.9343E-04 0.2852E-03
  462 0.9262E-04 0.2826E-03
  463 0.9181E-04 0.2800E-03
  464 0.9101E-04 0.2774E-03
  465 0.9020E-04 0.2749E-03
